#time (msec), membrane voltage (mV), stimulus level (nA), m, h, g_Na (uS)
  106.63,  -64.80,   0.0,   0.0529,    0.536, 0.000318
  106.73,  -64.69,   0.0,   0.0536,    0.537, 0.000332
  106.84,  -64.58,   0.0,   0.0543,    0.538, 0.000345
  106.94,  -64.47,   0.0,    0.055,    0.539, 0.000359
  107.05,  -64.36,   0.0,   0.0557,     0.54, 0.000374
  107.15,  -64.26,   0.0,   0.0565,     0.54, 0.000389
  107.26,  -64.15,   0.0,   0.0572,    0.541, 0.000404
  107.36,  -64.05,   0.0,   0.0579,    0.541,  0.00042
  107.47,  -63.94,   0.0,   0.0586,    0.542, 0.000436
  107.57,  -63.84,   0.0,   0.0593,    0.542, 0.000453
  107.68,  -63.74,   0.0,     0.06,    0.542, 0.000469
  107.78,  -63.63,   0.0,   0.0608,    0.542, 0.000487
  107.89,  -63.53,   0.0,   0.0615,    0.543, 0.000504
  107.99,  -63.43,   0.0,   0.0622,    0.543, 0.000522
  108.10,  -63.34,   0.0,   0.0629,    0.543, 0.000541
  108.20,  -63.24,   0.0,   0.0636,    0.542, 0.000559
  108.30,  -63.14,   0.0,   0.0644,    0.542, 0.000578
  108.41,  -63.05,   0.0,   0.0651,    0.542, 0.000597
  108.51,  -62.96,   0.0,   0.0658,    0.542, 0.000617
  108.62,  -62.86,   0.0,   0.0665,    0.541, 0.000637
  108.72,  -62.77,   0.0,   0.0672,    0.541, 0.000657
  108.83,  -62.68,   0.0,   0.0679,    0.541, 0.000677
  108.93,  -62.60,   0.0,   0.0686,     0.54, 0.000698
  109.04,  -62.51,   0.0,   0.0693,    0.539, 0.000719
  109.14,  -62.43,   0.0,     0.07,    0.539,  0.00074
  109.25,  -62.34,   0.0,   0.0707,    0.538, 0.000761
  109.35,  -62.26,   0.0,   0.0714,    0.537, 0.000782
  109.46,  -62.18,   0.0,   0.0721,    0.537, 0.000803
  109.56,  -62.10,   0.0,   0.0727,    0.536, 0.000824
  109.67,  -62.03,   0.0,   0.0734,    0.535, 0.000845
  109.77,  -61.95,   0.0,    0.074,    0.534, 0.000867
  109.88,  -61.88,   0.0,   0.0747,    0.533, 0.000888
  109.98,  -61.81,   0.0,   0.0753,    0.532, 0.000908
  110.09,  -61.75,   0.0,   0.0759,    0.531, 0.000929
  110.19,  -61.68,   0.0,   0.0765,     0.53, 0.000949
  110.30,  -61.62,   0.0,   0.0771,    0.529, 0.000969
  110.40,  -61.56,   0.0,   0.0776,    0.528, 0.000989
  110.51,  -61.50,   0.0,   0.0782,    0.527,  0.00101
  110.61,  -61.45,   0.0,   0.0787,    0.526,  0.00103
  110.72,  -61.40,   0.0,   0.0792,    0.525,  0.00104
  110.82,  -61.35,   0.0,   0.0797,    0.524,  0.00106
  110.93,  -61.30,   0.0,   0.0801,    0.523,  0.00108
  111.03,  -61.26,   0.0,   0.0806,    0.522,  0.00109
  111.14,  -61.22,   0.0,    0.081,     0.52,  0.00111
  111.24,  -61.19,   0.0,   0.0814,    0.519,  0.00112
  111.35,  -61.16,   0.0,   0.0817,    0.518,  0.00113
  111.45,  -61.13,   0.0,    0.082,    0.517,  0.00114
  111.56,  -61.11,   0.0,   0.0823,    0.516,  0.00115
  111.66,  -61.09,   0.0,   0.0825,    0.515,  0.00116
  111.77,  -61.08,   0.0,   0.0827,    0.513,  0.00116
  111.87,  -61.07,   0.0,   0.0829,    0.512,  0.00117
  111.97,  -61.07,   0.0,    0.083,    0.511,  0.00117
  112.08,  -61.07,   0.0,   0.0831,     0.51,  0.00117
  112.18,  -61.07,   0.0,   0.0832,    0.509,  0.00117
  112.29,  -61.08,   0.0,   0.0831,    0.508,  0.00117
  112.39,  -61.10,   0.0,   0.0831,    0.507,  0.00116
  112.50,  -61.12,   0.0,    0.083,    0.506,  0.00116
  112.60,  -61.15,   0.0,   0.0828,    0.505,  0.00115
  112.71,  -61.18,   0.0,   0.0826,    0.504,  0.00114
  112.81,  -61.22,   0.0,   0.0824,    0.503,  0.00113
  112.92,  -61.26,   0.0,   0.0821,    0.502,  0.00111
  113.02,  -61.30,   0.0,   0.0818,    0.502,   0.0011
  113.13,  -61.36,   0.0,   0.0814,    0.501,  0.00108
  113.23,  -61.41,   0.0,    0.081,      0.5,  0.00106
  113.34,  -61.47,   0.0,   0.0805,      0.5,  0.00104
  113.44,  -61.53,   0.0,     0.08,    0.499,  0.00102
  113.55,  -61.60,   0.0,   0.0795,    0.498,    0.001
  113.65,  -61.67,   0.0,   0.0789,    0.498,  0.00098
  113.76,  -61.74,   0.0,   0.0783,    0.498, 0.000957
  113.86,  -61.82,   0.0,   0.0777,    0.497, 0.000934
  113.97,  -60.85,  10.0,   0.0771,    0.497,  0.00091
  114.07,  -59.92,  10.0,    0.081,    0.496,  0.00105
  114.18,  -58.99,  10.0,   0.0872,    0.494,  0.00131
  114.28,  -58.03,  10.0,    0.095,    0.492,  0.00168
  114.39,  -57.01,  10.0,    0.104,    0.489,   0.0022
  114.49,  -55.87,  10.0,    0.114,    0.485,   0.0029
  114.60,  -54.55,  10.0,    0.127,     0.48,  0.00389
  114.70,  -52.92,  10.0,    0.141,    0.474,  0.00536
  114.81,  -50.79,  10.0,     0.16,    0.467,  0.00767
  114.91,  -47.72,  10.0,    0.186,    0.457,   0.0117
  115.02,  -43.78,   0.0,    0.223,    0.444,   0.0196
  115.12,  -35.84,   0.0,    0.276,    0.426,   0.0359
  115.17,  -29.98,   0.0,    0.327,    0.411,   0.0573
  115.20,  -26.41,   0.0,    0.361,    0.401,   0.0752
  115.23,  -21.76,   0.0,    0.399,     0.39,   0.0993
  115.25,  -15.80,   0.0,    0.444,    0.378,    0.132
  115.26,  -12.68,   0.0,     0.47,    0.372,    0.155
  115.28,   -9.18,   0.0,    0.498,    0.366,    0.181
  115.29,   -5.31,   0.0,    0.528,    0.359,    0.211
  115.30,   -1.10,   0.0,    0.559,    0.352,    0.246
  115.32,    3.39,   0.0,    0.592,    0.346,    0.286
  115.33,    8.06,   0.0,    0.625,    0.339,    0.332
  115.34,   12.78,   0.0,    0.659,    0.333,    0.381
  115.36,   17.40,   0.0,    0.693,    0.326,    0.435
  115.37,   21.75,   0.0,    0.727,     0.32,    0.491
  115.38,   25.68,   0.0,    0.759,    0.314,    0.547
  115.40,   29.05,   0.0,    0.789,    0.307,    0.603
  115.42,   35.11,   0.0,    0.842,    0.295,    0.705
  115.45,   37.57,   0.0,    0.885,    0.284,    0.788
  115.47,   37.91,   0.0,    0.917,    0.273,    0.843
  115.50,   37.24,   0.0,     0.94,    0.262,    0.873
  115.53,   36.09,   0.0,    0.957,    0.252,    0.884
  115.55,   34.67,   0.0,    0.968,    0.242,     0.88
  115.58,   33.07,   0.0,    0.977,    0.233,    0.867
  115.61,   31.33,   0.0,    0.982,    0.224,    0.848
  115.63,   29.49,   0.0,    0.986,    0.215,    0.825
  115.66,   27.56,   0.0,    0.989,    0.207,      0.8
  115.68,   25.56,   0.0,    0.991,    0.199,    0.773
  115.71,   23.52,   0.0,    0.992,    0.191,    0.746
  115.74,   21.44,   0.0,    0.993,    0.184,    0.719
  115.76,   19.34,   0.0,    0.993,    0.177,    0.692
  115.79,   17.22,   0.0,    0.993,     0.17,    0.666
  115.82,   15.10,   0.0,    0.993,    0.163,     0.64
  115.84,   12.98,   0.0,    0.993,    0.157,    0.614
  115.87,   10.87,   0.0,    0.992,    0.151,     0.59
  115.89,    8.77,   0.0,    0.992,    0.145,    0.566
  115.92,    6.69,   0.0,    0.991,     0.14,    0.543
  115.95,    4.63,   0.0,     0.99,    0.134,    0.521
  115.97,    2.60,   0.0,    0.988,    0.129,    0.499
  116.00,    0.58,   0.0,    0.987,    0.124,    0.478
  116.02,   -1.40,   0.0,    0.985,     0.12,    0.458
  116.05,   -3.36,   0.0,    0.983,    0.115,    0.438
  116.08,   -5.28,   0.0,     0.98,    0.111,    0.419
  116.10,   -7.18,   0.0,    0.978,    0.107,      0.4
  116.13,   -9.05,   0.0,    0.975,    0.103,    0.383
  116.16,  -10.90,   0.0,    0.971,   0.0997,    0.365
  116.18,  -12.71,   0.0,    0.967,   0.0963,    0.349
  116.21,  -14.50,   0.0,    0.963,   0.0931,    0.332
  116.23,  -16.26,   0.0,    0.958,   0.0901,    0.317
  116.26,  -17.99,   0.0,    0.952,   0.0873,    0.301
  116.29,  -19.71,   0.0,    0.946,   0.0846,    0.287
  116.31,  -21.39,   0.0,    0.939,   0.0822,    0.272
  116.34,  -23.06,   0.0,    0.931,   0.0799,    0.258
  116.37,  -24.71,   0.0,    0.923,   0.0778,    0.245
  116.39,  -26.35,   0.0,    0.914,   0.0759,    0.232
  116.42,  -27.97,   0.0,    0.903,   0.0742,    0.219
  116.44,  -29.59,   0.0,    0.892,   0.0727,    0.206
  116.50,  -34.28,   0.0,    0.867,   0.0699,    0.183
  116.55,  -37.77,   0.0,    0.833,   0.0682,    0.158
  116.60,  -41.34,   0.0,    0.791,   0.0672,    0.133
  116.65,  -45.11,   0.0,    0.742,    0.067,    0.109
  116.71,  -49.11,   0.0,    0.682,   0.0675,   0.0856
  116.76,  -53.34,   0.0,    0.612,   0.0687,   0.0629
  116.81,  -57.68,   0.0,    0.529,   0.0708,    0.042
  116.86,  -61.82,   0.0,    0.437,   0.0739,   0.0247
  116.92,  -65.35,   0.0,    0.341,   0.0778,   0.0123
  117.02,  -71.52,   0.0,    0.174,   0.0876,  0.00185
  117.13,  -71.60,   0.0,   0.0637,    0.101, 0.000104
  117.23,  -71.60,   0.0,   0.0342,    0.114, 1.82e-05
  117.34,  -71.57,   0.0,   0.0264,    0.127, 9.41e-06
  117.44,  -71.53,   0.0,   0.0245,     0.14, 8.22e-06
  117.55,  -71.49,   0.0,    0.024,    0.153, 8.49e-06
  117.65,  -71.45,   0.0,    0.024,    0.165, 9.15e-06
  117.76,  -71.40,   0.0,   0.0241,    0.177, 9.92e-06
  117.86,  -71.35,   0.0,   0.0242,    0.189, 1.08e-05
  117.96,  -71.30,   0.0,   0.0244,      0.2, 1.16e-05
  118.07,  -71.24,   0.0,   0.0245,    0.211, 1.25e-05
  118.17,  -71.19,   0.0,   0.0247,    0.222, 1.34e-05
  118.28,  -71.13,   0.0,   0.0249,    0.233, 1.43e-05
  118.38,  -71.07,   0.0,   0.0251,    0.243, 1.53e-05
  118.49,  -71.00,   0.0,   0.0252,    0.254, 1.63e-05
  118.59,  -70.94,   0.0,   0.0254,    0.264, 1.74e-05
  118.70,  -70.87,   0.0,   0.0256,    0.273, 1.84e-05
  118.80,  -70.80,   0.0,   0.0259,    0.283, 1.96e-05
  118.91,  -70.73,   0.0,   0.0261,    0.292, 2.08e-05
  119.01,  -70.65,   0.0,   0.0263,    0.301,  2.2e-05
  119.12,  -70.57,   0.0,   0.0266,     0.31, 2.33e-05
  119.22,  -70.49,   0.0,   0.0268,    0.319, 2.46e-05
  119.33,  -70.41,   0.0,   0.0271,    0.327,  2.6e-05
  119.43,  -70.32,   0.0,   0.0274,    0.336, 2.75e-05
  119.54,  -70.23,   0.0,   0.0277,    0.344, 2.91e-05
  119.64,  -70.14,   0.0,    0.028,    0.351, 3.07e-05
  119.75,  -70.05,   0.0,   0.0283,    0.359, 3.24e-05
  119.85,  -69.96,   0.0,   0.0286,    0.366, 3.42e-05
  119.96,  -69.86,   0.0,   0.0289,    0.374, 3.61e-05
  120.06,  -69.76,   0.0,   0.0293,    0.381, 3.81e-05
  120.17,  -69.66,   0.0,   0.0296,    0.387, 4.02e-05
  120.27,  -69.56,   0.0,     0.03,    0.394, 4.24e-05
  120.38,  -69.46,   0.0,   0.0303,    0.401, 4.48e-05
  120.48,  -69.35,   0.0,   0.0307,    0.407, 4.72e-05
  120.59,  -69.24,   0.0,   0.0311,    0.413, 4.98e-05
  120.69,  -69.13,   0.0,   0.0315,    0.419, 5.25e-05
  120.80,  -69.02,   0.0,    0.032,    0.425, 5.54e-05
  120.90,  -68.91,   0.0,   0.0324,     0.43, 5.84e-05
  121.01,  -68.80,   0.0,   0.0328,    0.436, 6.16e-05
  121.11,  -68.69,   0.0,   0.0333,    0.441,  6.5e-05
  121.22,  -68.57,   0.0,   0.0337,    0.446, 6.85e-05
  121.32,  -68.46,   0.0,   0.0342,    0.451, 7.22e-05
  121.43,  -68.34,   0.0,   0.0347,    0.456,  7.6e-05
  121.53,  -68.22,   0.0,   0.0352,     0.46, 8.01e-05
  121.63,  -68.11,   0.0,   0.0357,    0.465, 8.44e-05
  121.74,  -67.99,   0.0,   0.0362,    0.469, 8.89e-05
  121.84,  -67.87,   0.0,   0.0367,    0.473, 9.36e-05
  121.95,  -67.75,   0.0,   0.0372,    0.477, 9.85e-05
  122.05,  -66.58,  10.0,   0.0378,    0.481, 0.000104
  122.16,  -65.50,  10.0,   0.0415,    0.484, 0.000138
  122.26,  -64.49,  10.0,   0.0463,    0.486, 0.000193
  122.37,  -63.55,  10.0,   0.0518,    0.488, 0.000271
  122.47,  -62.64,  10.0,   0.0576,    0.489, 0.000375
  122.58,  -61.77,  10.0,   0.0638,     0.49, 0.000509
  122.68,  -60.91,  10.0,   0.0703,    0.489, 0.000681
  122.79,  -60.06,  10.0,   0.0772,    0.489,   0.0009
  122.89,  -59.20,  10.0,   0.0846,    0.487,  0.00118
  123.00,  -58.30,  10.0,   0.0925,    0.485,  0.00154
  123.10,  -58.40,   0.0,    0.101,    0.482,    0.002
  123.21,  -58.41,   0.0,    0.106,     0.48,  0.00226
  123.31,  -58.39,   0.0,    0.108,    0.477,  0.00241
  123.42,  -58.35,   0.0,     0.11,    0.475,   0.0025
  123.52,  -58.32,   0.0,    0.111,    0.473,  0.00256
  123.63,  -58.29,   0.0,    0.111,     0.47,   0.0026
  123.73,  -58.27,   0.0,    0.112,    0.468,  0.00262
  123.84,  -58.26,   0.0,    0.112,    0.465,  0.00264
  123.94,  -58.26,   0.0,    0.113,    0.463,  0.00265
  124.05,  -58.28,   0.0,    0.113,    0.461,  0.00265
  124.15,  -58.31,   0.0,    0.113,    0.459,  0.00263
  124.26,  -58.37,   0.0,    0.113,    0.457,  0.00261
  124.36,  -58.44,   0.0,    0.112,    0.454,  0.00257
  124.47,  -58.54,   0.0,    0.112,    0.453,  0.00252
  124.57,  -58.66,   0.0,    0.111,    0.451,  0.00245
  124.68,  -58.80,   0.0,     0.11,    0.449,  0.00237
  124.78,  -58.97,   0.0,    0.108,    0.448,  0.00228
  124.89,  -59.17,   0.0,    0.107,    0.446,  0.00217
  124.99,  -59.39,   0.0,    0.105,    0.445,  0.00205
  125.10,  -59.63,   0.0,    0.103,    0.444,  0.00193
  125.20,  -59.89,   0.0,      0.1,    0.443,  0.00179
  125.30,  -60.17,   0.0,   0.0978,    0.443,  0.00165
  125.41,  -60.47,   0.0,    0.095,    0.442,  0.00152
  125.51,  -60.78,   0.0,   0.0921,    0.442,  0.00138
  125.62,  -61.10,   0.0,   0.0891,    0.442,  0.00125
  125.72,  -61.42,   0.0,   0.0861,    0.442,  0.00113
  125.83,  -61.74,   0.0,   0.0831,    0.443,  0.00102
  125.93,  -62.05,   0.0,   0.0802,    0.444, 0.000914
  126.04,  -62.35,   0.0,   0.0773,    0.445, 0.000822
  126.14,  -62.64,   0.0,   0.0746,    0.446,  0.00074
  126.25,  -62.91,   0.0,   0.0721,    0.447, 0.000669
  126.35,  -63.17,   0.0,   0.0697,    0.448, 0.000607
  126.46,  -63.41,   0.0,   0.0675,     0.45, 0.000553
  126.56,  -63.63,   0.0,   0.0655,    0.452, 0.000508
  126.67,  -63.83,   0.0,   0.0637,    0.453, 0.000469
  126.77,  -64.01,   0.0,   0.0621,    0.455, 0.000435
  126.88,  -64.18,   0.0,   0.0606,    0.457, 0.000408
  126.98,  -64.33,   0.0,   0.0593,    0.459, 0.000384
  127.09,  -64.46,   0.0,   0.0582,    0.461, 0.000364
  127.19,  -64.57,   0.0,   0.0572,    0.464, 0.000347
  127.30,  -64.67,   0.0,   0.0564,    0.466, 0.000334
  127.40,  -64.75,   0.0,   0.0556,    0.468, 0.000322
  127.51,  -64.82,   0.0,    0.055,     0.47, 0.000313
  127.61,  -64.88,   0.0,   0.0545,    0.472, 0.000305
  127.72,  -64.93,   0.0,    0.054,    0.474, 0.000299
  127.82,  -64.96,   0.0,   0.0537,    0.477, 0.000295
  127.93,  -64.99,   0.0,   0.0534,    0.479, 0.000291
  128.03,  -65.01,   0.0,   0.0532,    0.481, 0.000289
  128.14,  -65.02,   0.0,    0.053,    0.483, 0.000288
  128.24,  -65.02,   0.0,   0.0529,    0.485, 0.000287
  128.35,  -65.02,   0.0,   0.0528,    0.487, 0.000288
  128.45,  -65.01,   0.0,   0.0528,    0.489, 0.000289
  128.56,  -64.99,   0.0,   0.0529,    0.491,  0.00029
  128.66,  -64.97,   0.0,   0.0529,    0.493, 0.000293
  128.77,  -64.94,   0.0,   0.0531,    0.495, 0.000296
  128.87,  -64.91,   0.0,   0.0532,    0.497, 0.000299
  128.97,  -64.87,   0.0,   0.0534,    0.499, 0.000303
  129.08,  -64.84,   0.0,   0.0536,      0.5, 0.000308
  129.18,  -64.79,   0.0,   0.0538,    0.502, 0.000313
  129.29,  -64.75,   0.0,    0.054,    0.504, 0.000318
  129.39,  -64.70,   0.0,   0.0543,    0.505, 0.000324
  129.50,  -64.65,   0.0,   0.0546,    0.507,  0.00033
  129.60,  -64.60,   0.0,   0.0549,    0.508, 0.000337
  129.71,  -64.54,   0.0,   0.0552,    0.509, 0.000343
  129.81,  -64.49,   0.0,   0.0556,    0.511, 0.000351
  129.92,  -64.43,   0.0,   0.0559,    0.512, 0.000358
  130.02,  -64.37,   0.0,   0.0563,    0.513, 0.000366
  130.13,  -64.31,   0.0,   0.0567,    0.514, 0.000375
  130.23,  -64.25,   0.0,   0.0571,    0.515, 0.000383
  130.34,  -64.19,   0.0,   0.0575,    0.516, 0.000392
  130.44,  -64.12,   0.0,   0.0579,    0.517, 0.000402
  130.55,  -64.06,   0.0,   0.0583,    0.518, 0.000411
  130.65,  -64.00,   0.0,   0.0587,    0.519, 0.000421
  130.76,  -63.93,   0.0,   0.0592,     0.52, 0.000431
  130.86,  -63.87,   0.0,   0.0596,    0.521, 0.000441
  130.97,  -63.80,   0.0,   0.0601,    0.521, 0.000452
  131.07,  -63.74,   0.0,   0.0605,    0.522, 0.000463
  131.18,  -63.67,   0.0,    0.061,    0.522, 0.000474
  131.28,  -63.61,   0.0,   0.0614,    0.523, 0.000485
  131.39,  -63.54,   0.0,   0.0619,    0.523, 0.000497
  131.49,  -63.48,   0.0,   0.0624,    0.524, 0.000508
  131.60,  -63.41,   0.0,   0.0628,    0.524,  0.00052
  131.70,  -63.35,   0.0,   0.0633,    0.524, 0.000532
  131.81,  -63.28,   0.0,   0.0638,    0.525, 0.000544
  131.91,  -63.22,   0.0,   0.0643,    0.525, 0.000557
  132.02,  -63.16,   0.0,   0.0647,    0.525, 0.000569
  132.12,  -63.10,   0.0,   0.0652,    0.525, 0.000582
  132.23,  -63.03,   0.0,   0.0657,    0.525, 0.000595
  132.33,  -62.97,   0.0,   0.0661,    0.525, 0.000607
  132.44,  -62.92,   0.0,   0.0666,    0.525,  0.00062
  132.54,  -62.86,   0.0,    0.067,    0.525, 0.000633
  132.64,  -62.80,   0.0,   0.0675,    0.525, 0.000646
  132.75,  -62.74,   0.0,    0.068,    0.525, 0.000659
  132.85,  -62.69,   0.0,   0.0684,    0.525, 0.000672
  132.96,  -62.63,   0.0,   0.0688,    0.524, 0.000684
  133.06,  -62.58,   0.0,   0.0693,    0.524, 0.000697
  133.17,  -62.53,   0.0,   0.0697,    0.524,  0.00071
  133.27,  -62.48,   0.0,   0.0701,    0.524, 0.000722
  133.38,  -62.43,   0.0,   0.0705,    0.523, 0.000734
  133.48,  -62.38,   0.0,   0.0709,    0.523, 0.000747
  133.59,  -62.34,   0.0,   0.0713,    0.523, 0.000758
  133.69,  -62.29,   0.0,   0.0717,    0.522,  0.00077
  133.80,  -62.25,   0.0,   0.0721,    0.522, 0.000781
  133.90,  -62.21,   0.0,   0.0724,    0.521, 0.000792
  134.01,  -62.17,   0.0,   0.0728,    0.521, 0.000803
  134.11,  -62.14,   0.0,   0.0731,     0.52, 0.000813
  134.22,  -62.10,   0.0,   0.0734,     0.52, 0.000823
  134.32,  -62.07,   0.0,   0.0737,    0.519, 0.000833
  134.43,  -62.04,   0.0,    0.074,    0.519, 0.000842
  134.53,  -62.01,   0.0,   0.0743,    0.518,  0.00085
  134.64,  -61.99,   0.0,   0.0746,    0.518, 0.000858
  134.74,  -61.96,   0.0,   0.0748,    0.517, 0.000865
  134.85,  -61.94,   0.0,    0.075,    0.516, 0.000872
  134.95,  -61.92,   0.0,   0.0752,    0.516, 0.000878
  135.06,  -61.90,   0.0,   0.0754,    0.515, 0.000883
  135.16,  -61.89,   0.0,   0.0756,    0.515, 0.000888
  135.27,  -61.88,   0.0,   0.0757,    0.514, 0.000892
  135.37,  -61.87,   0.0,   0.0758,    0.514, 0.000895
  135.48,  -61.86,   0.0,   0.0759,    0.513, 0.000898
  135.58,  -61.86,   0.0,    0.076,    0.512,   0.0009
  135.69,  -61.86,   0.0,   0.0761,    0.512, 0.000901
  135.79,  -61.86,   0.0,   0.0761,    0.511, 0.000901
  135.90,  -61.86,   0.0,   0.0761,    0.511, 0.000901
  136.00,  -61.87,   0.0,   0.0761,     0.51, 0.000899
  136.11,  -61.88,   0.0,   0.0761,     0.51, 0.000897
  136.21,  -61.89,   0.0,    0.076,    0.509, 0.000895
  136.31,  -61.90,   0.0,   0.0759,    0.509, 0.000891
  136.42,  -61.92,   0.0,   0.0758,    0.508, 0.000887
  136.52,  -61.93,   0.0,   0.0757,    0.508, 0.000882
  136.63,  -61.96,   0.0,   0.0756,    0.508, 0.000877
  136.73,  -61.98,   0.0,   0.0754,    0.507, 0.000871
  136.84,  -62.00,   0.0,   0.0753,    0.507, 0.000864
  136.94,  -62.03,   0.0,   0.0751,    0.506, 0.000857
  137.05,  -62.06,   0.0,   0.0749,    0.506,  0.00085
  137.15,  -62.09,   0.0,   0.0746,    0.506, 0.000842
